Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_13_30_45_792	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_45_898	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_005	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_115	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_226	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_334	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_443	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_552	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_664	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_771	virtual	virtual	1.4014	1.6176	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_882	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_46_989	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_47_101	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_47_209	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_32	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_427	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_536	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_646	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_759	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_866	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_47_976	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_086	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_194	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_3	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_413	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_527	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_63	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_738	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_854	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_48_963	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_073	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_183	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_286	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_396	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_508	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_614	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_727	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_836	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_49_945	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_048	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_159	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_27	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_384	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_492	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_603	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_711	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_822	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_50_926	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_51_04	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.862
2019_03_21_13_30_51_144	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_261	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_368	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_475	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_589	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_694	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_804	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_51_911	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_021	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_133	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_243	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_353	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_462	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_571	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_677	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_789	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_52_899	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_006	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_117	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_224	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_337	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_441	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_553	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_666	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_773	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_879	virtual	virtual	1.4014	1.6176	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_53_994	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_096	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_211	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_317	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_423	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_534	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_649	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_758	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_867	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_54_975	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_55_088	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	10.984
2019_03_21_13_30_55_191	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_302	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_412	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_52	virtual	virtual	1.4014	1.6176	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_626	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_74	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_85	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_55_958	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_56_065	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_56_176	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	11.168
2019_03_21_13_30_56_284	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	11.168
